code_region,region,departement,rang_vaccinal,date_debut_semaine,nb
84,ARA,01,1,2021-01-18,916
84,ARA,01,1,2021-01-25,1231
84,ARA,01,2,2021-01-25,119
84,ARA,01,1,2021-02-01,1219
84,ARA,01,2,2021-02-01,1093
84,ARA,01,1,2021-02-08,1362
84,ARA,01,2,2021-02-08,1359
84,ARA,01,1,2021-02-15,2109
84,ARA,01,2,2021-02-15,1199
84,ARA,01,1,2021-02-22,2089
84,ARA,01,2,2021-02-22,2238
84,ARA,01,1,2021-03-01,2586
84,ARA,01,2,2021-03-01,1986
84,ARA,01,1,2021-03-08,3275
84,ARA,01,2,2021-03-08,2200
84,ARA,01,1,2021-03-15,5232
84,ARA,01,2,2021-03-15,1948
84,ARA,01,1,2021-03-22,6449
84,ARA,01,2,2021-03-22,1853
84,ARA,01,1,2021-03-29,6768
84,ARA,01,2,2021-03-29,2580
84,ARA,01,1,2021-04-05,11604
84,ARA,01,2,2021-04-05,3312
84,ARA,01,1,2021-04-12,12023
84,ARA,01,2,2021-04-12,6071
84,ARA,01,1,2021-04-19,11279
84,ARA,01,2,2021-04-19,6121
84,ARA,01,1,2021-04-26,12010
84,ARA,01,2,2021-04-26,7226
84,ARA,01,1,2021-05-03,14224
84,ARA,01,2,2021-05-03,10855
84,ARA,01,1,2021-05-10,20310
84,ARA,01,2,2021-05-10,10440
84,ARA,01,1,2021-05-17,14702
84,ARA,01,2,2021-05-17,6925
84,ARA,01,1,2021-05-24,6937
84,ARA,01,2,2021-05-24,5502
84,ARA,01,1,2021-05-31,4437
84,ARA,01,2,2021-05-31,8631
84,ARA,01,1,2021-06-07,2348
84,ARA,01,2,2021-06-07,10203
32,HDF,02,1,2021-01-18,299
32,HDF,02,1,2021-01-25,205
32,HDF,02,2,2021-01-25,5
32,HDF,02,1,2021-02-01,233
32,HDF,02,2,2021-02-01,58
32,HDF,02,1,2021-02-08,333
32,HDF,02,2,2021-02-08,83
32,HDF,02,1,2021-02-15,2084
32,HDF,02,2,2021-02-15,2761
32,HDF,02,1,2021-02-22,2014
32,HDF,02,2,2021-02-22,915
32,HDF,02,1,2021-03-01,5829
32,HDF,02,2,2021-03-01,604
32,HDF,02,1,2021-03-08,5396
32,HDF,02,2,2021-03-08,1744
32,HDF,02,1,2021-03-15,6712
32,HDF,02,2,2021-03-15,1908
32,HDF,02,1,2021-03-22,6376
32,HDF,02,2,2021-03-22,2146
32,HDF,02,1,2021-03-29,6768
32,HDF,02,2,2021-03-29,4963
32,HDF,02,1,2021-04-05,7996
32,HDF,02,2,2021-04-05,4979
32,HDF,02,1,2021-04-12,7581
32,HDF,02,2,2021-04-12,6509
32,HDF,02,1,2021-04-19,7056
32,HDF,02,2,2021-04-19,5349
32,HDF,02,1,2021-04-26,9895
32,HDF,02,2,2021-04-26,5614
32,HDF,02,1,2021-05-03,12793
32,HDF,02,2,2021-05-03,6542
32,HDF,02,1,2021-05-10,18282
32,HDF,02,2,2021-05-10,5000
32,HDF,02,1,2021-05-17,7831
32,HDF,02,2,2021-05-17,2192
32,HDF,02,1,2021-05-24,3488
32,HDF,02,2,2021-05-24,3040
32,HDF,02,1,2021-05-31,880
32,HDF,02,2,2021-05-31,4839
32,HDF,02,1,2021-06-07,507
32,HDF,02,2,2021-06-07,8403
84,ARA,03,1,2021-01-18,666
84,ARA,03,1,2021-01-25,608
84,ARA,03,2,2021-01-25,81
84,ARA,03,1,2021-02-01,377
84,ARA,03,2,2021-02-01,179
84,ARA,03,1,2021-02-08,74
84,ARA,03,2,2021-02-08,346
84,ARA,03,1,2021-02-15,1928
84,ARA,03,2,2021-02-15,4532
84,ARA,03,1,2021-02-22,2157
84,ARA,03,2,2021-02-22,3649
84,ARA,03,1,2021-03-01,3862
84,ARA,03,2,2021-03-01,2542
84,ARA,03,1,2021-03-08,3279
84,ARA,03,2,2021-03-08,2457
84,ARA,03,1,2021-03-15,4614
84,ARA,03,2,2021-03-15,1258
84,ARA,03,1,2021-03-22,5767
84,ARA,03,2,2021-03-22,1764
84,ARA,03,1,2021-03-29,4410
84,ARA,03,2,2021-03-29,3143
84,ARA,03,1,2021-04-05,5394
