dep;vaccin;jour;n_tot_dose1;n_tot_dose2
42;1;2021-05-13;173574;87665
42;2;2021-05-13;17684;13124
42;3;2021-05-13;45996;2380
42;4;2021-05-13;1533;0
43;1;2021-05-13;53999;34553
43;2;2021-05-13;2187;2027
43;3;2021-05-13;12414;674
43;4;2021-05-13;531;0
44;1;2021-05-13;257705;133645
44;2;2021-05-13;26536;16262
44;3;2021-05-13;99570;2825
44;4;2021-05-13;3134;0
45;1;2021-05-13;122953;64760
45;2;2021-05-13;14056;7656
45;3;2021-05-13;38344;1316
45;4;2021-05-13;1467;0
46;1;2021-05-13;56881;32262
46;2;2021-05-13;2;2
46;3;2021-05-13;9255;486
46;4;2021-05-13;272;0
47;1;2021-05-13;74697;40799
47;2;2021-05-13;15893;8001
47;3;2021-05-13;17779;819
47;4;2021-05-13;631;0
48;1;2021-05-13;18101;12850
48;3;2021-05-13;4770;248
48;4;2021-05-13;172;0
49;1;2021-05-13;174388;91665
49;2;2021-05-13;21858;11411
49;3;2021-05-13;62215;1912
49;4;2021-05-13;2084;1
50;1;2021-05-13;119070;75210
50;2;2021-05-13;13965;8043
50;3;2021-05-13;35537;1182
50;4;2021-05-13;1326;2
51;1;2021-05-13;101126;51663
51;2;2021-05-13;16349;11181
51;3;2021-05-13;44056;1406
51;4;2021-05-13;1782;1
52;1;2021-05-13;47198;22826
52;3;2021-05-13;10428;716
52;4;2021-05-13;308;0
53;1;2021-05-13;57953;40584
53;2;2021-05-13;8384;2668
53;3;2021-05-13;20559;875
53;4;2021-05-13;765;0
54;1;2021-05-13;139090;73621
54;2;2021-05-13;24715;14618
54;3;2021-05-13;52917;2417
54;4;2021-05-13;1848;2
55;1;2021-05-13;44270;24952
55;3;2021-05-13;12477;539
55;4;2021-05-13;341;0
56;1;2021-05-13;174620;97945
56;2;2021-05-13;21927;9663
56;3;2021-05-13;62584;2040
56;4;2021-05-13;2103;2
57;1;2021-05-13;231477;133662
57;2;2021-05-13;32618;23897
57;3;2021-05-13;53016;3672
57;4;2021-05-13;1875;3
58;1;2021-05-13;50078;32387
58;2;2021-05-13;6624;4999
58;3;2021-05-13;14295;624
58;4;2021-05-13;592;0
59;1;2021-05-13;511204;277392
59;2;2021-05-13;27803;16961
59;3;2021-05-13;195232;9262
59;4;2021-05-13;6924;0
60;1;2021-05-13;153205;83337
60;2;2021-05-13;19949;15660
60;3;2021-05-13;37353;1700
60;4;2021-05-13;1392;1
61;1;2021-05-13;74966;46908
61;2;2021-05-13;6965;4884
61;3;2021-05-13;15647;1048
61;4;2021-05-13;532;0
62;1;2021-05-13;302862;176262
62;2;2021-05-13;23520;17412
62;3;2021-05-13;118658;5522
62;4;2021-05-13;3693;1
63;1;2021-05-13;124629;71698
63;2;2021-05-13;22501;16821
63;3;2021-05-13;49283;2493
63;4;2021-05-13;1977;3
64;1;2021-05-13;179202;111356
64;2;2021-05-13;17044;8446
64;3;2021-05-13;45298;2086
64;4;2021-05-13;1429;1
65;1;2021-05-13;76020;41337
65;2;2021-05-13;1827;989
65;3;2021-05-13;11784;502
65;4;2021-05-13;438;0
66;1;2021-05-13;117750;61114
66;2;2021-05-13;15309;9456
66;3;2021-05-13;31625;1698
66;4;2021-05-13;1327;1
67;1;2021-05-13;195429;107462
67;2;2021-05-13;35210;14799
67;3;2021-05-13;83618;3785
67;4;2021-05-13;2937;1
68;1;2021-05-13;144693;76786
68;2;2021-05-13;24135;17367
68;3;2021-05-13;40520;2525
68;4;2021-05-13;1265;0
69;1;2021-05-13;333640;182535
69;2;2021-05-13;42390;25224
69;3;2021-05-13;112738;4916
69;4;2021-05-13;4170;2
70;1;2021-05-13;50876;26800
70;2;2021-05-13;5385;3573
70;3;2021-05-13;14222;1125
70;4;2021-05-13;585;0
71;1;2021-05-13;129928;75234
71;2;2021-05-13;13215;7863
71;3;2021-05-13;36730;1154
71;4;2021-05-13;1455;0
72;1;2021-05-13;112501;53263
72;2;2021-05-13;13857;3977
72;3;2021-05-13;34167;974
72;4;2021-05-13;1313;0
73;1;2021-05-13;94083;53328
73;2;2021-05-13;2310;1254
73;3;2021-05-13;28944;553
73;4;2021-05-13;1004;1
74;1;2021-05-13;139176;73761
74;2;2021-05-13;19103;12703
74;3;2021-05-13;38375;1817
74;4;2021-05-13;987;1
75;1;2021-05-13;502080;262652
75;2;2021-05-13;11837;7048
75;3;2021-05-13;172584;9569
75;4;2021-05-13;4787;10
76;1;2021-05-13;251678;152392
76;2;2021-05-13;30323;16435
76;3;2021-05-13;95869;3973
76;4;2021-05-13;3636;1
77;1;2021-05-13;234123;113466
77;2;2021-05-13;21;18
77;3;2021-05-13;64474;2737
77;4;2021-05-13;2191;2
78;1;2021-05-13;218020;111341
78;2;2021-05-13;59629;30896
78;3;2021-05-13;74655;2987
78;4;2021-05-13;2549;2
79;1;2021-05-13;72774;49124
79;2;2021-05-13;12648;8129
79;3;2021-05-13;27750;907
79;4;2021-05-13;929;0
80;1;2021-05-13;105612;58281
80;2;2021-05-13;12789;9161
80;3;2021-05-13;48941;1684
80;4;2021-05-13;2022;0
81;1;2021-05-13;88336;53544
81;2;2021-05-13;18401;11973
81;3;2021-05-13;22027;691
81;4;2021-05-13;783;2
82;1;2021-05-13;60062;35648
82;2;2021-05-13;36;1
82;3;2021-05-13;15638;869
82;4;2021-05-13;637;1
83;1;2021-05-13;232140;141687
83;2;2021-05-13;37850;23720
83;3;2021-05-13;57051;2872
83;4;2021-05-13;2436;3
84;1;2021-05-13;123545;69204
84;2;2021-05-13;4;4
84;3;2021-05-13;32849;1311
84;4;2021-05-13;1386;1
85;1;2021-05-13;161845;89410
85;2;2021-05-13;15934;6450
85;3;2021-05-13;48865;1652
85;4;2021-05-13;1817;2
86;1;2021-05-13;106387;54832
86;2;2021-05-13;9239;4265
86;3;2021-05-13;33890;1212
86;4;2021-05-13;1212;1
87;1;2021-05-13;89622;46841
87;2;2021-05-13;6687;4681
87;3;2021-05-13;32547;1605
87;4;2021-05-13;1470;1
88;1;2021-05-13;93051;51229
88;2;2021-05-13;7236;3938
88;3;2021-05-13;24960;1201
88;4;2021-05-13;882;0
89;1;2021-05-13;72546;42945
89;2;2021-05-13;9502;5153
89;3;2021-05-13;18053;1214
89;4;2021-05-13;569;0
90;1;2021-05-13;28168;17850
90;2;2021-05-13;6243;3120
90;3;2021-05-13;8484;292
90;4;2021-05-13;299;0
91;1;2021-05-13;202075;109749
91;2;2021-05-13;32970;14504
91;3;2021-05-13;59318;1976
91;4;2021-05-13;1738;4
92;1;2021-05-13;277833;136769
92;2;2021-05-13;47131;19701
92;3;2021-05-13;80343;3829
92;4;2021-05-13;2425;2
93;1;2021-05-13;256193;109708
93;2;2021-05-13;50171;29641
93;3;2021-05-13;47140;2817
