dep;vaccin;jour;n_tot_dose1;n_tot_dose2
17;4;2021-05-12;2265;1
18;1;2021-05-12;72023;39058
18;2;2021-05-12;8855;7547
18;3;2021-05-12;15394;424
18;4;2021-05-12;591;0
19;1;2021-05-12;58877;36398
19;2;2021-05-12;4920;2115
19;3;2021-05-12;18805;928
19;4;2021-05-12;649;0
21;1;2021-05-12;95524;54101
21;2;2021-05-12;17657;16588
21;3;2021-05-12;39994;1871
21;4;2021-05-12;1353;2
22;1;2021-05-12;154642;99485
22;2;2021-05-12;19226;7430
22;3;2021-05-12;40913;1661
22;4;2021-05-12;1425;1
23;1;2021-05-12;35287;20507
23;2;2021-05-12;1683;781
23;3;2021-05-12;7500;468
23;4;2021-05-12;343;0
24;1;2021-05-12;94408;59211
24;2;2021-05-12;12702;6749
24;3;2021-05-12;28436;1371
24;4;2021-05-12;1359;0
25;1;2021-05-12;87397;41649
25;2;2021-05-12;24404;19162
25;3;2021-05-12;30936;1176
25;4;2021-05-12;1199;0
26;1;2021-05-12;107485;59593
26;2;2021-05-12;14649;7701
26;3;2021-05-12;34499;2226
26;4;2021-05-12;968;2
27;1;2021-05-12;117010;63588
27;2;2021-05-12;8851;4036
27;3;2021-05-12;31955;1131
27;4;2021-05-12;1284;4
28;1;2021-05-12;84559;45609
28;2;2021-05-12;10713;8357
28;3;2021-05-12;25478;1129
28;4;2021-05-12;855;0
29;1;2021-05-12;192125;109961
29;2;2021-05-12;19167;8551
29;3;2021-05-12;85147;2342
29;4;2021-05-12;3190;3
2A;1;2021-05-12;54133;29249
2A;2;2021-05-12;4959;4745
2A;3;2021-05-12;4093;323
2A;4;2021-05-12;72;1
2B;1;2021-05-12;54688;33059
2B;2;2021-05-12;3925;3404
2B;3;2021-05-12;5724;547
2B;4;2021-05-12;231;0
30;1;2021-05-12;150461;94804
30;2;2021-05-12;21254;8640
30;3;2021-05-12;47231;1983
30;4;2021-05-12;1820;1
31;1;2021-05-12;232607;142450
31;2;2021-05-12;29715;6747
31;3;2021-05-12;84860;3783
31;4;2021-05-12;2650;2
32;1;2021-05-12;56562;28932
32;2;2021-05-12;5;63
32;3;2021-05-12;12170;634
32;4;2021-05-12;438;0
33;1;2021-05-12;293310;173163
33;2;2021-05-12;51981;27587
33;3;2021-05-12;127272;5442
33;4;2021-05-12;4849;6
34;1;2021-05-12;243355;136385
34;2;2021-05-12;22565;13525
34;3;2021-05-12;85502;3924
34;4;2021-05-12;3600;1
35;1;2021-05-12;193589;109383
35;2;2021-05-12;24618;12521
35;3;2021-05-12;81213;1718
35;4;2021-05-12;2677;3
36;1;2021-05-12;58839;33603
36;2;2021-05-12;3240;601
36;3;2021-05-12;16249;478
36;4;2021-05-12;539;0
37;1;2021-05-12;117553;63041
37;2;2021-05-12;9330;5251
37;3;2021-05-12;54398;1590
37;4;2021-05-12;2082;2
38;1;2021-05-12;225935;119979
38;2;2021-05-12;38083;17360
38;3;2021-05-12;84984;4035
38;4;2021-05-12;2404;2
39;1;2021-05-12;48339;26026
39;2;2021-05-12;12129;10711
39;3;2021-05-12;17309;899
39;4;2021-05-12;599;0
40;1;2021-05-12;90740;56294
40;2;2021-05-12;12537;8039
40;3;2021-05-12;31807;1876
40;4;2021-05-12;1100;0
41;1;2021-05-12;70812;41011
41;2;2021-05-12;10020;6169
41;3;2021-05-12;23082;844
41;4;2021-05-12;783;0
42;1;2021-05-12;168532;87112
42;2;2021-05-12;17209;13072
42;3;2021-05-12;45985;2362
42;4;2021-05-12;1517;0
43;1;2021-05-12;53068;34237
43;2;2021-05-12;2187;2027
43;3;2021-05-12;12414;674
43;4;2021-05-12;526;0
44;1;2021-05-12;253154;132775
44;2;2021-05-12;25803;16168
44;3;2021-05-12;99552;2778
44;4;2021-05-12;3123;0
45;1;2021-05-12;121162;64325
45;2;2021-05-12;13516;7656
45;3;2021-05-12;38266;1283
45;4;2021-05-12;1451;0
46;1;2021-05-12;56261;32132
46;2;2021-05-12;2;2
46;3;2021-05-12;9254;476
46;4;2021-05-12;271;0
47;1;2021-05-12;72859;40592
47;2;2021-05-12;15385;7763
47;3;2021-05-12;17754;696
47;4;2021-05-12;625;0
48;1;2021-05-12;17611;12747
48;3;2021-05-12;4760;238
48;4;2021-05-12;167;0
49;1;2021-05-12;169966;91432
49;2;2021-05-12;21503;11190
49;3;2021-05-12;62210;1878
49;4;2021-05-12;2084;1
50;1;2021-05-12;116144;74726
50;2;2021-05-12;13466;8039
50;3;2021-05-12;35532;1181
50;4;2021-05-12;1309;2
51;1;2021-05-12;99430;51280
51;2;2021-05-12;16349;11181
51;3;2021-05-12;44014;1387
51;4;2021-05-12;1770;1
52;1;2021-05-12;47131;22660
52;3;2021-05-12;10428;716
52;4;2021-05-12;308;0
53;1;2021-05-12;57953;40584
53;2;2021-05-12;8061;2666
53;3;2021-05-12;20534;859
53;4;2021-05-12;765;0
54;1;2021-05-12;137265;73437
54;2;2021-05-12;24010;14536
54;3;2021-05-12;52904;2384
54;4;2021-05-12;1825;2
55;1;2021-05-12;44164;24883
55;3;2021-05-12;12477;539
55;4;2021-05-12;341;0
56;1;2021-05-12;173167;97052
56;2;2021-05-12;21003;9626
56;3;2021-05-12;62565;2030
56;4;2021-05-12;2089;2
57;1;2021-05-12;227440;133130
57;2;2021-05-12;32075;23892
57;3;2021-05-12;53010;3640
57;4;2021-05-12;1855;3
58;1;2021-05-12;50015;32222
58;2;2021-05-12;6624;4999
58;3;2021-05-12;14294;614
58;4;2021-05-12;591;0
59;1;2021-05-12;495141;275554
59;2;2021-05-12;25396;16939
59;3;2021-05-12;195110;9079
59;4;2021-05-12;6887;0
60;1;2021-05-12;148472;82638
60;2;2021-05-12;19332;15626
60;3;2021-05-12;37329;1650
60;4;2021-05-12;1376;1
61;1;2021-05-12;74186;46643
61;2;2021-05-12;6867;4706
61;3;2021-05-12;15643;1021
61;4;2021-05-12;532;0
62;1;2021-05-12;293951;175664
62;2;2021-05-12;22448;17364
62;3;2021-05-12;118517;5340
62;4;2021-05-12;3682;1
63;1;2021-05-12;120786;71326
63;2;2021-05-12;22218;16733
63;3;2021-05-12;49226;2442
63;4;2021-05-12;1967;3
64;1;2021-05-12;176459;110678
64;2;2021-05-12;16673;8418
64;3;2021-05-12;45285;2062
64;4;2021-05-12;1424;1
65;1;2021-05-12;74866;41238
65;2;2021-05-12;1743;986
65;3;2021-05-12;11784;502
65;4;2021-05-12;438;0
66;1;2021-05-12;115711;59948
66;2;2021-05-12;15113;9364
66;3;2021-05-12;31623;1678
66;4;2021-05-12;1316;1
67;1;2021-05-12;190905;106646
67;2;2021-05-12;32603;14557
67;3;2021-05-12;83509;3672
67;4;2021-05-12;2852;1
68;1;2021-05-12;140952;76339
68;2;2021-05-12;23080;17315
68;3;2021-05-12;40498;2452
68;4;2021-05-12;1262;0
69;1;2021-05-12;323463;181147
69;2;2021-05-12;41986;25054
69;3;2021-05-12;112697;4900
69;4;2021-05-12;4144;2
70;1;2021-05-12;49691;26786
70;2;2021-05-12;5028;3571
70;3;2021-05-12;14214;1084
70;4;2021-05-12;580;0
71;1;2021-05-12;129927;75234
71;2;2021-05-12;11679;7859
71;3;2021-05-12;36695;1113
71;4;2021-05-12;1454;0
72;1;2021-05-12;109925;53145
72;2;2021-05-12;13314;3968
72;3;2021-05-12;34148;935
72;4;2021-05-12;1296;0
73;1;2021-05-12;92522;53188
73;2;2021-05-12;2310;1254
73;3;2021-05-12;28944;550
73;4;2021-05-12;1004;1
74;1;2021-05-12;137718;73116
74;2;2021-05-12;18232;12619
74;3;2021-05-12;38372;1811
74;4;2021-05-12;987;1
75;1;2021-05-12;489729;261773
75;2;2021-05-12;11831;7048
75;3;2021-05-12;172467;9460
75;4;2021-05-12;4431;8
76;1;2021-05-12;244537;151574
76;2;2021-05-12;28563;16432
76;3;2021-05-12;95827;3933
76;4;2021-05-12;3614;1
77;1;2021-05-12;224597;113251
77;2;2021-05-12;21;18
77;3;2021-05-12;64419;2675
77;4;2021-05-12;2169;2
78;1;2021-05-12;212673;111268
78;2;2021-05-12;58400;30887
78;3;2021-05-12;74597;2875
78;4;2021-05-12;2543;2
79;1;2021-05-12;72137;48871
79;2;2021-05-12;12648;8129
79;3;2021-05-12;27745;888
79;4;2021-05-12;923;0
80;1;2021-05-12;102536;58147
80;2;2021-05-12;11986;9158
80;3;2021-05-12;48908;1665
80;4;2021-05-12;2008;0
81;1;2021-05-12;87699;53048
81;2;2021-05-12;17800;11955
81;3;2021-05-12;21940;691
81;4;2021-05-12;775;2
82;1;2021-05-12;58594;35266
82;2;2021-05-12;36;1
82;3;2021-05-12;15638;869
82;4;2021-05-12;632;1
83;1;2021-05-12;226396;140805
83;2;2021-05-12;37085;23707
83;3;2021-05-12;57027;2792
83;4;2021-05-12;2426;3
84;1;2021-05-12;121426;68509
84;2;2021-05-12;4;4
84;3;2021-05-12;32827;1287
84;4;2021-05-12;1377;0
85;1;2021-05-12;158105;88997
85;2;2021-05-12;14552;6432
85;3;2021-05-12;48809;1621
85;4;2021-05-12;1814;2
86;1;2021-05-12;104765;54649
86;2;2021-05-12;9239;4265
86;3;2021-05-12;33877;1172
86;4;2021-05-12;1174;1
87;1;2021-05-12;88551;46721
87;2;2021-05-12;6687;4576
87;3;2021-05-12;32526;1578
87;4;2021-05-12;1453;1
88;1;2021-05-12;90057;50789
88;2;2021-05-12;6958;3936
88;3;2021-05-12;24947;1168
88;4;2021-05-12;877;0
89;1;2021-05-12;72255;42644
89;2;2021-05-12;9387;5149
89;3;2021-05-12;18025;1214
89;4;2021-05-12;564;0
90;1;2021-05-12;27670;17695
90;2;2021-05-12;5631;3116
90;3;2021-05-12;8476;275
90;4;2021-05-12;295;0
91;1;2021-05-12;198101;109040
91;2;2021-05-12;32217;14453
91;3;2021-05-12;59274;1949
91;4;2021-05-12;1732;4
92;1;2021-05-12;270332;136583
92;2;2021-05-12;45097;19680
92;3;2021-05-12;80320;3792
92;4;2021-05-12;2418;2
93;1;2021-05-12;249979;108964
93;2;2021-05-12;48227;29566
93;3;2021-05-12;47119;2732
93;4;2021-05-12;1269;0
94;1;2021-05-12;271439;143580
94;2;2021-05-12;75;13
94;3;2021-05-12;61148;3265
94;4;2021-05-12;1501;0
95;1;2021-05-12;207927;103145
95;2;2021-05-12;38005;19417
95;3;2021-05-12;50247;2137
95;4;2021-05-12;1407;0
971;1;2021-05-12;20867;10332
971;2;2021-05-12;414;74
971;3;2021-05-12;2810;85
972;1;2021-05-12;40108;21487
972;3;2021-05-12;1924;61
972;4;2021-05-12;33;0
973;1;2021-05-12;29260;13070
974;1;2021-05-12;106262;49740
974;2;2021-05-12;2;0
974;3;2021-05-12;7;4
974;4;2021-05-12;57;0
975;2;2021-05-12;1;0
976;1;2021-05-12;17698;9140
976;2;2021-05-12;0;1
977;1;2021-05-12;6588;1034
977;2;2021-05-12;1;0
977;3;2021-05-12;68;3
978;1;2021-05-12;3381;1982
978;2;2021-05-12;106;123
01;0;2021-05-12;155952;68172
02;0;2021-05-12;139552;61922
03;0;2021-05-12;124335;57984
04;0;2021-05-12;48842;26289
05;0;2021-05-12;44142;22543
06;0;2021-05-12;368989;189271
07;0;2021-05-12;103491;47337
08;0;2021-05-12;87248;36844
09;0;2021-05-12;52681;29056
10;0;2021-05-12;98708;45675
11;0;2021-05-12;111970;50746
12;0;2021-05-12;99503;53092
13;0;2021-05-12;578183;295726
14;0;2021-05-12;229483;96994
15;0;2021-05-12;50955;25844
16;0;2021-05-12;112908;51078
17;0;2021-05-12;218659;110371
18;0;2021-05-12;96863;47029
19;0;2021-05-12;83251;39441
21;0;2021-05-12;154528;72562
22;0;2021-05-12;216206;108577
23;0;2021-05-12;44813;21756
24;0;2021-05-12;136905;67331
25;0;2021-05-12;143936;61987
26;0;2021-05-12;157601;69522
27;0;2021-05-12;159100;68759
28;0;2021-05-12;121605;55095
29;0;2021-05-12;299629;120857
2A;0;2021-05-12;63257;34318
2B;0;2021-05-12;64568;37010
30;0;2021-05-12;220766;105428
31;0;2021-05-12;349832;152982
32;0;2021-05-12;69175;29629
33;0;2021-05-12;477412;206198
34;0;2021-05-12;355022;153835
35;0;2021-05-12;302097;123625
36;0;2021-05-12;78867;34682
37;0;2021-05-12;183363;69884
38;0;2021-05-12;351406;141376
39;0;2021-05-12;78376;37636
40;0;2021-05-12;136184;66209
41;0;2021-05-12;104697;48024
42;0;2021-05-12;233243;102546
43;0;2021-05-12;68195;36938
44;0;2021-05-12;381632;151721
45;0;2021-05-12;174395;73264
46;0;2021-05-12;65788;32610
47;0;2021-05-12;106623;49051
48;0;2021-05-12;22538;12985
49;0;2021-05-12;255763;104501
50;0;2021-05-12;166451;83948
51;0;2021-05-12;161563;63849
52;0;2021-05-12;57867;23376
53;0;2021-05-12;87313;44109
54;0;2021-05-12;216004;90359
55;0;2021-05-12;56982;25422
56;0;2021-05-12;258824;108710
57;0;2021-05-12;314380;160665
58;0;2021-05-12;71524;37835
59;0;2021-05-12;722534;301572
60;0;2021-05-12;206509;99915
61;0;2021-05-12;97228;52370
62;0;2021-05-12;438598;198369
63;0;2021-05-12;194197;90504
64;0;2021-05-12;239841;121159
65;0;2021-05-12;88831;42726
66;0;2021-05-12;163763;70991
67;0;2021-05-12;309869;124876
68;0;2021-05-12;205792;96106
69;0;2021-05-12;482290;211103
70;0;2021-05-12;69513;31441
71;0;2021-05-12;179755;84206
72;0;2021-05-12;158683;58048
73;0;2021-05-12;124780;54993
74;0;2021-05-12;195309;87547
75;0;2021-05-12;678458;278289
76;0;2021-05-12;372541;171940
77;0;2021-05-12;291206;115946
78;0;2021-05-12;348213;145032
79;0;2021-05-12;113453;57888
80;0;2021-05-12;165438;68970
81;0;2021-05-12;128214;65696
82;0;2021-05-12;74900;36137
83;0;2021-05-12;322934;167307
84;0;2021-05-12;155634;69800
85;0;2021-05-12;223280;97052
86;0;2021-05-12;149055;60087
87;0;2021-05-12;129217;52876
88;0;2021-05-12;122839;55893
89;0;2021-05-12;100231;49007
90;0;2021-05-12;42072;21086
91;0;2021-05-12;291324;125446
92;0;2021-05-12;398167;160057
93;0;2021-05-12;346594;141262
94;0;2021-05-12;334163;146858
95;0;2021-05-12;297586;124699
971;0;2021-05-12;24091;10491
972;0;2021-05-12;42065;21548
973;0;2021-05-12;29260;13070
974;0;2021-05-12;106328;49744
975;0;2021-05-12;1;0
976;0;2021-05-12;17698;9141
977;0;2021-05-12;6657;1037
978;0;2021-05-12;3487;2105
