dep;vaccin;jour;n_tot_dose1;n_tot_dose2
01;1;2021-05-12;118020;62201
01;2;2021-05-12;4828;4422
01;3;2021-05-12;31985;1548
01;4;2021-05-12;1119;1
02;1;2021-05-12;95108;54329
02;2;2021-05-12;7319;6329
02;3;2021-05-12;35452;1264
02;4;2021-05-12;1673;0
03;1;2021-05-12;90773;49922
03;2;2021-05-12;11144;7218
03;3;2021-05-12;21671;843
03;4;2021-05-12;747;1
04;1;2021-05-12;38593;25741
04;2;2021-05-12;1;1
04;3;2021-05-12;9865;545
04;4;2021-05-12;383;2
05;1;2021-05-12;34141;22085
05;3;2021-05-12;9684;458
05;4;2021-05-12;317;0
06;1;2021-05-12;262344;156392
06;2;2021-05-12;43421;29453
06;3;2021-05-12;61433;3420
06;4;2021-05-12;1791;6
07;1;2021-05-12;69090;35628
07;2;2021-05-12;14898;10543
07;3;2021-05-12;18649;1165
07;4;2021-05-12;854;1
08;1;2021-05-12;63379;34231
08;2;2021-05-12;3122;1522
08;3;2021-05-12;19901;1090
08;4;2021-05-12;846;1
09;1;2021-05-12;39564;25622
09;2;2021-05-12;5852;3067
09;3;2021-05-12;7015;367
09;4;2021-05-12;250;0
10;1;2021-05-12;72882;40520
10;2;2021-05-12;8272;4333
10;3;2021-05-12;16859;821
10;4;2021-05-12;695;1
11;1;2021-05-12;79217;44765
11;2;2021-05-12;7517;4514
11;3;2021-05-12;24302;1465
11;4;2021-05-12;934;2
12;1;2021-05-12;73490;44436
12;2;2021-05-12;10851;7730
12;3;2021-05-12;14716;926
12;4;2021-05-12;446;0
13;1;2021-05-12;439437;270249
13;2;2021-05-12;49889;20769
13;3;2021-05-12;85630;4703
13;4;2021-05-12;3227;5
14;1;2021-05-12;145897;81624
14;2;2021-05-12;22683;12602
14;3;2021-05-12;58666;2768
14;4;2021-05-12;2237;0
15;1;2021-05-12;37240;23578
15;2;2021-05-12;1986;1728
15;3;2021-05-12;11306;538
15;4;2021-05-12;423;0
16;1;2021-05-12;81814;46655
16;2;2021-05-12;6401;3698
16;3;2021-05-12;23736;723
16;4;2021-05-12;957;2
17;1;2021-05-12;152431;101466
17;2;2021-05-12;10513;6586
17;3;2021-05-12;53450;2318
