dep;vaccin;jour;n_tot_dose1;n_tot_dose2
56;3;2021-04-05;35008;1
57;1;2021-04-05;121360;67464
57;2;2021-04-05;21424;5535
57;3;2021-04-05;40550;10
58;1;2021-04-05;26423;13631
58;2;2021-04-05;4454;1169
58;3;2021-04-05;7816;0
59;1;2021-04-05;244201;109604
59;2;2021-04-05;11832;2386
59;3;2021-04-05;125029;30
60;1;2021-04-05;70887;26780
60;2;2021-04-05;15474;2752
60;3;2021-04-05;20375;7
61;1;2021-04-05;37415;18260
61;2;2021-04-05;2636;0
61;3;2021-04-05;8652;0
62;1;2021-04-05;156129;55472
62;2;2021-04-05;16005;879
62;3;2021-04-05;74230;51
63;1;2021-04-05;57471;28579
63;2;2021-04-05;12920;612
63;3;2021-04-05;30921;3
64;1;2021-04-05;86384;40195
64;2;2021-04-05;5864;73
64;3;2021-04-05;30531;2
65;1;2021-04-05;30162;14924
65;2;2021-04-05;1044;589
65;3;2021-04-05;8379;3
66;1;2021-04-05;48532;27346
66;2;2021-04-05;4755;2198
66;3;2021-04-05;20070;2
67;1;2021-04-05;83692;43652
67;2;2021-04-05;11576;5259
67;3;2021-04-05;51037;11
68;1;2021-04-05;61944;31214
68;2;2021-04-05;16340;8498
68;3;2021-04-05;26420;7
69;1;2021-04-05;155667;69965
69;2;2021-04-05;20098;387
69;3;2021-04-05;72678;24
70;1;2021-04-05;22475;9919
70;2;2021-04-05;3250;1062
70;3;2021-04-05;9015;11
71;1;2021-04-05;66061;30793
71;2;2021-04-05;6548;1952
71;3;2021-04-05;21576;18
72;1;2021-04-05;42132;22026
72;2;2021-04-05;3061;596
72;3;2021-04-05;17089;3
73;1;2021-04-05;42419;21676
73;2;2021-04-05;1484;273
73;3;2021-04-05;19668;1
74;1;2021-04-05;58810;26555
74;2;2021-04-05;11325;271
74;3;2021-04-05;27679;46
75;1;2021-04-05;229524;103941
75;2;2021-04-05;7573;6840
75;3;2021-04-05;120705;31
750;3;2021-04-05;1;0
76;1;2021-04-05;122060;55844
76;2;2021-04-05;16169;3371
76;3;2021-04-05;56661;4
77;1;2021-04-05;100829;42514
77;2;2021-04-05;22;6
77;3;2021-04-05;38687;23
78;1;2021-04-05;94678;39631
78;2;2021-04-05;24749;7522
78;3;2021-04-05;48954;7
79;1;2021-04-05;35905;16050
79;2;2021-04-05;6232;1885
79;3;2021-04-05;15967;2
80;1;2021-04-05;49722;24073
80;2;2021-04-05;8213;4057
80;3;2021-04-05;27569;17
81;1;2021-04-05;39317;17870
81;2;2021-04-05;9998;1995
81;3;2021-04-05;15300;11
82;1;2021-04-05;25947;15250
82;2;2021-04-05;15;1
82;3;2021-04-05;10030;10
83;1;2021-04-05;106584;42930
83;2;2021-04-05;20295;10121
83;3;2021-04-05;37617;9
84;1;2021-04-05;53502;26354
84;2;2021-04-05;4;3
84;3;2021-04-05;20281;21
85;1;2021-04-05;66763;35827
85;2;2021-04-05;4574;568
85;3;2021-04-05;26174;1
86;1;2021-04-05;44979;25659
86;2;2021-04-05;3081;629
86;3;2021-04-05;19844;1
87;1;2021-04-05;38512;19712
87;2;2021-04-05;3532;900
87;3;2021-04-05;19342;1
88;1;2021-04-05;42778;20294
88;2;2021-04-05;3262;986
88;3;2021-04-05;15508;25
89;1;2021-04-05;37603;15789
89;2;2021-04-05;4174;1161
89;3;2021-04-05;9660;14
90;1;2021-04-05;15364;8133
90;2;2021-04-05;2467;585
90;3;2021-04-05;6121;2
91;1;2021-04-05;96537;47629
91;2;2021-04-05;8499;4
91;3;2021-04-05;38227;1
92;1;2021-04-05;123218;56757
92;2;2021-04-05;10595;5
92;3;2021-04-05;54511;7
93;1;2021-04-05;92285;38516
93;2;2021-04-05;25216;8966
93;3;2021-04-05;33493;11
94;1;2021-04-05;124113;51053
94;2;2021-04-05;533;7
94;3;2021-04-05;41278;13
95;1;2021-04-05;89364;37769
95;2;2021-04-05;15262;6103
95;3;2021-04-05;34531;15
970;1;2021-04-05;1;0
971;1;2021-04-05;8906;3848
971;2;2021-04-05;83;2
971;3;2021-04-05;1165;0
972;1;2021-04-05;16252;5132
972;3;2021-04-05;1310;0
973;1;2021-04-05;10227;4899
974;1;2021-04-05;39345;21444
974;2;2021-04-05;2;0
974;3;2021-04-05;6;4
976;1;2021-04-05;10093;4584
977;1;2021-04-05;636;230
977;3;2021-04-05;32;0
978;1;2021-04-05;1180;642
00;0;2021-04-05;2;2
01;0;2021-04-05;70001;23005
02;0;2021-04-05;69633;25565
03;0;2021-04-05;60447;27825
04;0;2021-04-05;28100;9935
05;0;2021-04-05;24464;7299
06;0;2021-04-05;212530;67411
07;0;2021-04-05;49923;18641
08;0;2021-04-05;41833;13935
09;0;2021-04-05;24538;8844
10;0;2021-04-05;49211;16387
11;0;2021-04-05;53810;18039
